umbral,accuracy,precision,sensibilidad_recall,especificidad,f1,predichos_como_riesgo,falsos_positivos,falsos_negativos,verdaderos_positivos,verdaderos_negativos
0.1,0.7090909090909091,0.5076923076923077,1.0,0.5844155844155844,0.673469387755102,65,32,0,33,45
0.15,0.7545454545454545,0.5517241379310345,0.9696969696969697,0.6623376623376623,0.7032967032967034,58,26,1,32,51
0.2,0.7545454545454545,0.5535714285714286,0.9393939393939394,0.6753246753246753,0.6966292134831461,56,25,2,31,52
0.25,0.7818181818181819,0.5849056603773585,0.9393939393939394,0.7142857142857143,0.7209302325581395,53,22,2,31,55
0.3,0.7909090909090909,0.5961538461538461,0.9393939393939394,0.7272727272727273,0.7294117647058823,52,21,2,31,56
0.35,0.7818181818181819,0.5918367346938775,0.8787878787878788,0.7402597402597403,0.7073170731707317,49,20,4,29,57
0.4,0.8,0.6222222222222222,0.8484848484848485,0.7792207792207793,0.717948717948718,45,17,5,28,60
0.45,0.8090909090909091,0.6363636363636364,0.8484848484848485,0.7922077922077922,0.7272727272727273,44,16,5,28,61
0.5,0.8090909090909091,0.6428571428571429,0.8181818181818182,0.8051948051948052,0.72,42,15,6,27,62
0.55,0.8454545454545455,0.7105263157894737,0.8181818181818182,0.8571428571428571,0.7605633802816901,38,11,6,27,66
0.6,0.8454545454545455,0.7105263157894737,0.8181818181818182,0.8571428571428571,0.7605633802816901,38,11,6,27,66
0.65,0.8454545454545455,0.7222222222222222,0.7878787878787878,0.8701298701298701,0.7536231884057971,36,10,7,26,67
0.7,0.8272727272727273,0.7058823529411765,0.7272727272727273,0.8701298701298701,0.7164179104477612,34,10,9,24,67
0.75,0.8363636363636363,0.7419354838709677,0.696969696969697,0.8961038961038961,0.71875,31,8,10,23,69
0.8,0.8454545454545455,0.8076923076923077,0.6363636363636364,0.935064935064935,0.711864406779661,26,5,12,21,72
0.85,0.8363636363636363,0.8260869565217391,0.5757575757575758,0.948051948051948,0.6785714285714286,23,4,14,19,73
0.9,0.8181818181818182,0.8421052631578947,0.48484848484848486,0.961038961038961,0.6153846153846154,19,3,17,16,74
