empresa,area_departamento,antiguedad_anios,posicionamiento_salarial,evaluacion_global,movilidad_funcional_sn,tipo_contrato,rotacion_voluntaria,tramo_antiguedad
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,41.63,Entre el medio y el punto máximo de la banda,3,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,40.0,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,38.7,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,38.21,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,38.07,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,37.83,Entre el medio y el punto máximo de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,37.67,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,37.56,Por encima del máximo de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.85,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.76,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.76,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.68,Por encima del máximo de la banda,3,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.5,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.46,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.41,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.15,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.08,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,36.0,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,35.92,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,35.92,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,35.92,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
